Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;02;Action européenne;;;31.0;3;15000.0;15000.0;0.0;0.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;22.0;2;81339957.0;81339957.0;0.0;0.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;151.0;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;61.0;6;17460000.0;17460000.0;0.0;0.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;185.0;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;;;64.0;6;50665380.0;50665380.0;0.0;0.0;Europe et affaires étrangères
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;08;Immigration, asile et intégration;;;21.0;2;27317257.0;27317257.0;0.0;0.0;Intérieur et outre-mer
BG;Administration générale et territoriale de l'État;AB;354.0;Administration territoriale de l'État;02;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;;;22.0;2;164679192.0;164679192.0;0.0;0.0;Intérieur et outre-mer
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;01;Santé, qualité et protection des végétaux;;;32.0;3;1100000.0;1100000.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales, protection et bien-être animal;;;72.0;7;200000.0;1130000.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;03;Sécurité sanitaire de l'alimentation;;;64.0;6;88701298.0;63941298.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;;22.0;2;4340954.0;4340954.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;04;Moyens communs;;;51.0;5;4672920.0;9465431.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Anciens combattants, mémoire et liens avec la Nation;MB;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;01;Indemnisation des victimes de spoliations;22.0;2;436999.0;436999.0;0.0;0.0;Services du Premier ministre
BG;Anciens combattants, mémoire et liens avec la Nation;MB;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;01;Indemnisation des victimes de spoliations;31.0;3;333815.0;333815.0;0.0;0.0;Services du Premier ministre
