"siren";"siret";"Etablissement"
"343592721";"34359272100025";"ISMANS"
"343592721";"34359272100025,34359272100017";"ISMANS"
"348768508";"34876850800015";"Excelia Group"
"353408776";"35340877600022";"EIGSI La Rochelle"
"378327514";"37832751400014";"Rennes School of Business"
"379103096";"37910309600044";"ECAM Rennes Louis de Broglie"
"379103096";"37910309600051";"ECAM Rennes Louis de Broglie"
"379204308";"37920430800033";"Institut catholique de Vendée"
"379204381";"37920438100014";"École supérieure angevine en informatique et productique"
"379364094";"37936409400019";"École centrale d'électronique"
"379364094";"37936409400027";"École centrale d'électronique"
"379364094";"37936409400027,37936409400019";"École centrale d'électronique"
"381395680";"38139568000022";"ICN Business School"
"381395680";"38139568000105";"ICN Business School"
"381395680";"38139568000105,38139568000022";"ICN Business School"
"381522689";"38152268900011";"Institut régional du travail social de Champagne-Ardennes"
"383386877";"38338687700039";"ISEN Yncréa Méditerranée"
"383798998";"38379899800035";"École d'ingénieur d'agro-développement international"
"388591638";"38859163800027";"École de biologie industrielle"
"388591638";"38859163800035";"École de biologie industrielle"
"388591638";"38859163800035,38859163800027,38859163800019";"École de biologie industrielle"
"388964520";"38896452000018";"ECAM-EPMI"
"389013004";"38901300400012";"École supérieure d'ingénieurs des travaux de la construction de Metz"
"391101581";"39110158100018";"EPF - École d'ingénieurs"
"391101581";"39110158100067";"EPF - École d'ingénieurs"
"391101581";"39110158100067,39110158100018";"EPF - École d'ingénieurs"
"391895109";"39189510900026";"École supérieure de chimie physique électronique de Lyon"
"394331649";"39433164900019";"École supérieure d'ingénieurs des travaux de la construction de Paris"
"394331649";"39433164900027";"École supérieure d'ingénieurs des travaux de la construction de Paris"
"394331649";"39433164900027,39433164900019";"École supérieure d'ingénieurs des travaux de la construction de Paris"
"397704628";"39770462800015";"Institut d'ingénierie informatique de Limoges"
"397792656";"39779265600027";"Institut supérieur de l'électronique et du numérique de Brest"
"397792656";"39779265600027,39779265600019";"Institut supérieur de l'électronique et du numérique de Brest"
"398898338";"39889833800023";"École d'ingénieur généraliste en informatique et technologies du numérique"
"400397063";"40039706300019";"École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens"
"402850226";"40285022600018";"École supérieure d'ingénieurs Léonard-de-Vinci"
"403162688";"40316268800010";"BUILDERS École d'ingénieurs"
"413701111";"41370111100028";"École supérieure d'ingénieurs en génie électrique"
"421506445";"42150644500012";"École nationale supérieure des métiers de l'image et du son"
"424437127";"42443712700014";"Institut catholique de Rennes"
"433695632";"43369563200029";"Institut polytechnique des sciences avancées"
"439946427";"43994642700028";"Groupe Institut catholique d'arts et métiers"
"439946427";"43994642700036";"Groupe Institut catholique d'arts et métiers"
"439946427";"43994642700044,43994642700036,43994642700028";"Groupe Institut catholique d'arts et métiers"
"442639258";"44263925800031";"École spéciale de mécanique et d'électricité"
"443220223";"44322022300012";"École pour l'informatique et les techniques avancées"
"450355326";"45035532600023";"Centre de formation des journalistes"
"479622953";"47962295300012";"Institut Sup'Biotech de Paris"
"479806630";"47980663000055";"École de management de Normandie"
"479806630.788375";"47980663000055,47980663000014,78837489000010";"École de management de Normandie"
"512837303";"51283730300035";"École d'ingénierie des sciences aérospatiales"
"512837303";"51283730300043";"École d'ingénieurs des sciences aérospatiales"
"512837303";"51283730300043,51283730300035";"École d'ingénieurs des sciences aérospatiales"
"514005123";"51400512300062";"KEDGE Business School"
"520875378";"52087537800017";"École supérieure des technologies et des affaires de Belfort"
"529175341";"52917534100013";"Y SCHOOLS"
"530680495";"53068049500013";"École spéciale militaire de Saint-Cyr"
"531690238";"53169023800013";"École spéciale militaire de Saint-Cyr"
"775624240";"77562424000013";"Institut catholique de Lille"
"775663958";"77566395800046";"École supérieure des sciences économiques et commerciales"
"775688013";"77568801300041";"École supérieure de fonderie et de forge"
"775703390";"77570339000010";"Institut européen d'administration des affaires"
"775722572";"77572257200812";"CESI"
"775722572";"77572257201109";"CESI"
"775722572";"77572257201109,77572257200812";"CESI"
"775728470";"77572847000037";"Facultés Libres de Philosophie et de Psychologie"
"775728470";"77572847000045";"Facultés Libres de Philosophie et de Psychologie"
"775729155";"77572915500124";"École nationale supérieure du pétrole et des moteurs"
"776944100";"77694410000010";"Institut catholique de Toulouse"
"776944142";"77694414200012";"École d'ingénieurs de Purpan"
"779845056";"77984505600042";"Institut supérieur d’agriculture Rhône-Alpes"
"779883446";"77988344600014";"École catholique des arts et métiers"
"780507190";"78050719000012";"Institut polytechnique UniLaSalle"
"780507190";"78050719000061";"École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens"
"783705841";"78370584100014";"Skema Business School"
"783705841";"78370584100022";"Skema Business School"
"783705841";"78370584100022,78370584100014";"Skema Business School"
"783707003";"78370700300035";"Junia"
"783707003";"78370700300043";"Institut supérieur d'agriculture de Lille"
"783707003";"78370700300050";"Hautes études d'ingénieur"
"783707011";"78370701100020";"École supérieure de journalisme de Lille"
"783707052";"78370705200032";"Institut d'économie scientifique et de gestion"
"783707060";"78370706000027";"École des hautes études commerciales du nord"
"783707060";"78370706000068";"Edhec Business School"
"783707060";"78370706000068,78370706000027";"École des hautes études commerciales du nord"
"784259509";"78425950900080";"École supérieure des techniques aéronautiques et de construction automobile"
"784280737";"78428073700015";"Institut catholique de Paris"
"784280745";"78428074500026";"Institut supérieur d'électronique de Paris"
"784280760";"78428076000033";"École supérieure de chimie organique et minérale"
"784280802";"78428080200017";"IPAG Business School"
"784280836";"7842808360003";"Institut de management et de communication interculturels"
"784280836";"78428083600031";"Institut de management et de communication interculturels"
"784521304";"78452130400021";"École supérieure du bois"
"784573669";"78457366900016";"École spéciale d'architecture"
"784617011";"78461701100076";"Centre des hautes études de la construction"
"784713513";"78471351300025";"Institut supérieur du commerce de Paris"
"786116681";"78611668100010";"Facultés libres de l'Ouest"
"786116715";"78611671500016";"École supérieure d'électronique de l'Ouest"
"786116715";"78611671500065";"École supérieure d'électronique de l'Ouest"
"786116715";"78611671500065,78611671500016";"École supérieure d'électronique de l'Ouest"
"786116723";"78611672300010";"École supérieure des sciences commerciales d'Angers"
"788374890";"78837489000010";"École de management de Normandie"
"789704772";"78970477200019";"Burgundy School of Business"
"790261242";"79026124200016";"MBS"
"792237463";"79223746300015";"Neoma Business School"
"792237463";"79223746300049";"Neoma Business School"
"792237463";"79223746300049,79223746300015";"Neoma Business School"
"804840411";"80484041100016";"Itescia"
"812635514";"81263551400019";"Brest Business School"
"817517394";"81751739400018";"Toulouse Business School"
"817517394.1831";"81751739400018,18310002300161";"Toulouse Business School"
"817759186";"81775918600023";"École des hautes études commerciales de Paris"
"824457675";"82445767500059";"École supérieure des technologies industrielles avancées"
"824457675.1864";"82445767500059,82445767500018,18640005700102";"École supérieure des technologies industrielles avancées"
"824644587";"82464458700027";"ESCP Business School"
"834748865";"83474886500013";"Audencia"
"834748865.491785";"83474886500013,49178543200015";"Audencia Business School"
"889310744";"88931074400020";"ESIEE-IT"
"898056957";"89805695700019";"Institut Sup'Biotech de Paris"
"898056957.479623";"89805695700019,47962295300012";"Institut Sup'Biotech de Paris"
"898124904";"89812490400019";"Institut polytechnique des sciences avancées"
"898124904.433696";"89812490400019,43369563200029";"Institut polytechnique des sciences avancées"
"898192075";"89819207500015";"École pour l'informatique et les techniques avancées"
"898192075.44322";"89819207500015,44322022300012";"École pour l'informatique et les techniques avancées"
NA;NA;NA
