ANNEE;SEXE;AGEQ;POPACTBIT;TACTBIT
1986;H;T5564;1260;44.6
1986;H;T60;311;23.2
1986;H;T65;71;8.7
1986;H;T70;57;2.9
1986;F;T;10726;47.1
1986;F;T15;424;19.8
1986;F;T1524;1985;46.0
1986;F;T1564;10657;57.4
1986;F;T20;1560;71.8
1986;F;T25;1642;75.3
1986;F;T2549;6898;72.7
1986;F;T30;1555;73.2
1986;F;T35;1639;74.0
1986;F;T40;1102;72.2
1986;F;T45;960;66.5
1986;F;T50;895;56.5
1986;F;T5064;1774;37.3
1986;F;T55;636;39.3
1986;F;T5564;879;27.7
1986;F;T60;243;15.6
1986;F;T65;32;3.2
1986;F;T70;38;1.2
1986;E;T;25083;57.3
1986;E;T15;1020;23.3
1986;E;T1524;4386;50.3
1986;E;T1564;24886;67.6
1986;E;T20;3365;77.5
1986;E;T25;3686;85.3
1986;E;T2549;16087;84.7
1986;E;T30;3603;84.9
1986;E;T35;3833;86.0
1986;E;T40;2636;85.1
1986;E;T45;2328;81.2
1986;E;T50;2274;72.5
1986;E;T5064;4413;48.3
1986;E;T55;1585;51.1
1986;E;T5564;2139;35.7
1986;E;T60;554;19.1
1986;E;T65;103;5.7
1986;E;T70;94;1.8
1987;H;T;14320;67.5
1987;H;T15;582;25.7
1987;H;T1524;2338;53.1
1987;H;T1564;14188;77.2
1987;H;T20;1756;81.9
1987;H;T25;2043;95.7
1987;H;T2549;9306;96.8
1987;H;T30;2028;96.7
1987;H;T35;2208;97.8
1987;H;T40;1673;97.4
1987;H;T45;1354;96.1
1987;H;T50;1328;88.1
1987;H;T5064;2544;58.5
1987;H;T55;924;62.3
1987;H;T5564;1216;42.8
1987;H;T60;292;21.5
1987;H;T65;79;8.3
1987;H;T70;53;2.8
1987;F;T;10811;47.0
1987;F;T15;398;18.4
1987;F;T1524;1955;44.8
1987;F;T1564;10736;57.4
1987;F;T20;1557;70.8
1987;F;T25;1601;75.1
1987;F;T2549;6996;72.7
1987;F;T30;1613;73.3
1987;F;T35;1614;73.6
1987;F;T40;1219;73.4
1987;F;T45;949;66.3
1987;F;T50;910;58.6
1987;F;T5064;1786;37.9
1987;F;T55;642;39.9
1987;F;T5564;876;27.7
1987;F;T60;233;15.1
1987;F;T65;43;3.7
1987;F;T70;32;1.0
