"","Code.UAI","Etablissement","Rentrée","Charge.totale.d.enseignement","Heures.complémentaires","Heures.complémentaires.des.permanents","Heures.des.vacataires","Heures.complémentaires.payables","pid","Etudiants","Enseignants"
"194","0341089Z","Université Paul-Valéry - Montpellier 3",2017,NA,88855,39267,49588,NA,"1I7hJ",18459,506
"195","0442953W","Nantes Université",2008,NA,213411,99196,114215,NA,"qUCQp",32219,NA
"196","0442953W","Nantes Université",2009,NA,261950,108385,152565,NA,"qUCQp",32717,NA
"197","0301687W","Université de Nîmes",2015,NA,31371,5073,26298,NA,"HAU8L",4275,78
"198","0301687W","Université de Nîmes",2016,NA,34181,9060,25121,NA,"HAU8L",4158,83
"199","0301687W","Université de Nîmes",2017,NA,33260,8601,24659,NA,"HAU8L",4066,84
"200","0450855K","Université d'Orléans",2009,NA,122440,55402,67038,NA,"HCBvW",15343,NA
"201","0450855K","Université d'Orléans",2010,NA,133495,64296,69199,NA,"HCBvW",13598,860
"202","0751719L","Université Sorbonne Nouvelle - Paris 3",2015,NA,118256,62556,55700,NA,"8k883",15009,448
"203","0751719L","Université Sorbonne Nouvelle - Paris 3",2016,NA,123546,69257,54289,NA,"8k883",14813,453
"204","0931827F","Université Paris 8 - Vincennes - Saint-Denis",2019,NA,118851,75370,43481,NA,"Uxr7Z",21965,712
"205","0941111X","Université Paris-Est Créteil",2011,NA,258893,NA,NA,NA,"vb71K",26396,1154
"206","0941111X","Université Paris-Est Créteil",2012,NA,233656,NA,NA,NA,"vb71K",26931,1157
"207","0941111X","Université Paris-Est Créteil",2013,NA,217430,NA,NA,NA,"vb71K",27918,1167
"208","0941111X","Université Paris-Est Créteil",2014,NA,221820,119163,115990,NA,"vb71K",28960,1191
"209","0941111X","Université Paris-Est Créteil",2015,NA,220693,118036,102657,NA,"vb71K",29915,1189
"210","0941111X","Université Paris-Est Créteil",2016,NA,234929,130664,104265,NA,"vb71K",30681,1191
"211","0941111X","Université Paris-Est Créteil",2017,NA,240729,137097,103632,NA,"vb71K",31798,1136
"212","0941111X","Université Paris-Est Créteil",2018,NA,245374,143309,102065,NA,"vb71K",33061,1175
"213","0511296G","Université de Reims Champagne-Ardenne",2013,NA,145006,NA,NA,NA,"57OsX",22020,1090
"214","0511296G","Université de Reims Champagne-Ardenne",2014,NA,152222,77372,74850,NA,"57OsX",23043,1102
"215","0511296G","Université de Reims Champagne-Ardenne",2017,NA,160198,72225,87973,NA,"57OsX",22876,1037
"216","0511296G","Université de Reims Champagne-Ardenne",2018,NA,160473,74892,85581,NA,"57OsX",23272,1021
"217","0353074B","Université de Rennes",2018,NA,143876,68618,75257,NA,NA,NA,NA
"218","0421095M","Université Jean Monnet",2010,NA,119871,54647,65224,NA,"tIJ02",15050,619
"219","0421095M","Université Jean Monnet",2011,NA,121296,58378,62918,NA,"tIJ02",15641,625
"220","0421095M","Université Jean Monnet",2012,NA,124444,58754,65690,NA,"tIJ02",15771,633
"221","0421095M","Université Jean Monnet",2013,NA,129962,62327,67635,NA,"tIJ02",16200,643
"222","0421095M","Université Jean Monnet",2014,NA,135915,64424,71490,NA,"tIJ02",16791,646
"223","0421095M","Université Jean Monnet",2015,NA,136979,63396,73583,NA,"tIJ02",17477,661
"224","0421095M","Université Jean Monnet",2016,NA,147952,64826,83126,NA,"tIJ02",18088,652
"225","0421095M","Université Jean Monnet",2017,NA,151930,70668,81262,NA,"tIJ02",18049,647
"226","0830766G","Université de Toulon",2012,NA,85703,NA,NA,NA,"C701f",8342,391
"227","0830766G","Université de Toulon",2014,NA,71167,NA,NA,NA,"C701f",8311,406
"228","0830766G","Université de Toulon",2015,NA,68745,NA,NA,NA,"C701f",8534,410
"229","0830766G","Université de Toulon",2016,NA,74031,NA,NA,NA,"C701f",8761,400
"230","0830766G","Université de Toulon",2017,NA,79273,NA,NA,NA,"C701f",8976,395
"231","0830766G","Université de Toulon",2018,NA,84184,NA,NA,NA,"C701f",9293,395
"232","0370800U","Université de Tours",2016,NA,132105,58046,74060,NA,"cqkij",23510,966
"233","0370800U","Université de Tours",2017,NA,124211,58157,66054,NA,"cqkij",24319,961
"234","0370800U","Université de Tours",2018,NA,115831,46660,69171,NA,"cqkij",24537,955
"235","0623957P","Université d'Artois",2014,NA,126412,NA,NA,NA,"BWbvP",9933,615
"236","0623957P","Université d'Artois",2015,NA,123012,NA,NA,NA,"BWbvP",10387,624
"237","0623957P","Université d'Artois",2016,NA,142259,NA,NA,NA,"BWbvP",10641,484
"238","0623957P","Université d'Artois",2017,NA,139686,NA,NA,NA,"BWbvP",11112,470
"239","0623957P","Université d'Artois",2018,NA,121319,NA,NA,NA,"BWbvP",11322,466
"240","0623957P","Université d'Artois",2019,NA,122777,NA,NA,NA,"BWbvP",11936,469
"241","0597239Y","Université de Lille",2016,NA,392528,197177,195351,NA,"U8a0v",68974,2660
"242","0673021V","Université de Strasbourg",2009,636198,248599,94219,154380,NA,"4k25D",39361,NA
"243","0673021V","Université de Strasbourg",2010,629186,280575,125340,155235,280575,"4k25D",39545,1892
"244","0673021V","Université de Strasbourg",2011,612014,268477,117858,150619,NA,"4k25D",40288,1883
"245","0673021V","Université de Strasbourg",2012,601670,251744,107314,144430,NA,"4k25D",41331,1871
"246","0673021V","Université de Strasbourg",2013,597650,256506,111946,144560,NA,"4k25D",42332,1845
"247","0673021V","Université de Strasbourg",2014,596620,263465,117885,145580,NA,"4k25D",43717,1820
"248","0673021V","Université de Strasbourg",2015,606369,272743,127103,145640,NA,"4k25D",44866,1792
"249","0673021V","Université de Strasbourg",2016,619868,282040,131433,150607,NA,"4k25D",46577,1806
"250","0673021V","Université de Strasbourg",2017,630697,294636,139378,155258,NA,"4k25D",47057,1776
"251","0673021V","Université de Strasbourg",2018,630697,294636,139378,155258,280494,"4k25D",48147,1757
"252","0673021V","Université de Strasbourg",2019,641939,305767,149899,155868,292940,"4k25D",49146,1803
"253","0673021V","Université de Strasbourg",2020,643105,309021,151614,157407,296339,"4k25D",49345,1805
"254","0772710C","Université Paris-Est Marne-la-Vallée",2013,194110,101240,30716,70524,NA,"6g0Mb",0,NA
"255","0772710C","Université Paris-Est Marne-la-Vallée",2014,187210,91392,28137,63255,NA,"6g0Mb",0,NA
"256","0772710C","Université Paris-Est Marne-la-Vallée",2015,190719,89493,27760,61733,NA,"6g0Mb",0,NA
"257","0772710C","Université Paris-Est Marne-la-Vallée",2016,192322,100459,33534,66925,NA,"6g0Mb",9,NA
"258","0370800U","Université de Tours",2019,NA,118311,49819,68492,NA,"cqkij",24999,959
"259","0370800U","Université de Tours",2020,NA,119275,50888,68387,NA,"cqkij",25575,959
"260","0762762P","Université Le Havre Normandie",2017,NA,67948,NA,NA,NA,"LsQ24",7434,347
"261","0781944P","Université de Versailles Saint-Quentin-en-Yvelines",2019,NA,530321,437800,92520,NA,"V13Pk",15132,602
