Annee;Academie.origine;Academie.recrutement;Groupe.CNU;MCF
2019;BORDEAUX;STRASBOURG;Droit;
2019;CAEN;STRASBOURG;Droit;
2019;CLERMONT-FERRAND;STRASBOURG;Droit;
2019;CORSE;STRASBOURG;Droit;
2019;CRETEIL;STRASBOURG;Droit;
2019;DIJON;STRASBOURG;Droit;
2019;GRENOBLE;STRASBOURG;Droit;1
2019;GUADELOUPE;STRASBOURG;Droit;
2019;LILLE;STRASBOURG;Droit;
2019;LYON;STRASBOURG;Droit;
2019;MONTPELLIER;STRASBOURG;Droit;
2019;NANCY-METZ;STRASBOURG;Droit;2
2019;NANTES;STRASBOURG;Droit;
2019;NICE;STRASBOURG;Droit;
2019;ORLEANS-TOURS;STRASBOURG;Droit;
2019;PARIS;STRASBOURG;Droit;
2019;POITIERS;STRASBOURG;Droit;
2019;REIMS;STRASBOURG;Droit;
2019;RENNES;STRASBOURG;Droit;
2019;ROUEN;STRASBOURG;Droit;
2019;STRASBOURG;STRASBOURG;Droit;
2019;TOULOUSE;STRASBOURG;Droit;
2019;VERSAILLES;STRASBOURG;Droit;
2019;AIX-MARSEILLE;TOULOUSE;Droit;
2019;AMIENS;TOULOUSE;Droit;
2019;BESANCON;TOULOUSE;Droit;
2019;BORDEAUX;TOULOUSE;Droit;
2019;CAEN;TOULOUSE;Droit;
2019;CLERMONT-FERRAND;TOULOUSE;Droit;
2019;CORSE;TOULOUSE;Droit;
2019;CRETEIL;TOULOUSE;Droit;
2019;DIJON;TOULOUSE;Droit;
2019;GRENOBLE;TOULOUSE;Droit;
2019;GUADELOUPE;TOULOUSE;Droit;
2019;LILLE;TOULOUSE;Droit;1
2019;LYON;TOULOUSE;Droit;
2019;MONTPELLIER;TOULOUSE;Droit;
2019;NANCY-METZ;TOULOUSE;Droit;
2019;NANTES;TOULOUSE;Droit;
2019;NICE;TOULOUSE;Droit;
2019;ORLEANS-TOURS;TOULOUSE;Droit;
2019;PARIS;TOULOUSE;Droit;
2019;POITIERS;TOULOUSE;Droit;
2019;REIMS;TOULOUSE;Droit;
2019;RENNES;TOULOUSE;Droit;
2019;ROUEN;TOULOUSE;Droit;
2019;STRASBOURG;TOULOUSE;Droit;
2019;TOULOUSE;TOULOUSE;Droit;
2019;VERSAILLES;TOULOUSE;Droit;
2019;AIX-MARSEILLE;VERSAILLES;Droit;
2019;AMIENS;VERSAILLES;Droit;
2019;BESANCON;VERSAILLES;Droit;
2019;BORDEAUX;VERSAILLES;Droit;
2019;CAEN;VERSAILLES;Droit;2
2019;CLERMONT-FERRAND;VERSAILLES;Droit;
2019;CORSE;VERSAILLES;Droit;
2019;CRETEIL;VERSAILLES;Droit;
2019;DIJON;VERSAILLES;Droit;
