"siren";"siret";"Etablissement";"Secteur";"dataset"
"898192075.44322";"89819207500015,44322022300012";"École pour l'informatique et les techniques avancées";"privé";"etab.24"
NA;NA;NA;NA;"etab.24"
"130013097";"13001309700071";"École nationale supérieure maritime";"Public";"etab.23"
"130017270";"13001727000302";"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire";"Privé";"etab.23"
"130026024";"13002602400054";"Université Paris-Saclay";"Public";"etab.23"
"180092025";"18009202500154";"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school";"Public";"etab.23"
"180092405";"18009240500018";"École nationale supérieure d'arts de Paris-Cergy";"Public";"etab.23"
"192026649";"19202664900264";"Université de Corse Pasquale Paoli";"Public";"etab.23"
"193100989";"19310098900014";"Centre de ressources, d'expertise et de performance sportives de Toulouse";"Public";"etab.23"
"193113867";"19311386700025";"Sciences Po Toulouse";"Public";"etab.23"
"195112966";"19511296600799";"Université de Reims Champagne-Ardenne";"Public";"etab.23"
"196701890";"19670189000010";"École nationale du génie de l'eau et de l'environnement de Strasbourg";"Public";"etab.23"
"196924377";"19692437700282";"Université Jean Moulin - Lyon 3";"Public";"etab.23"
"197500028";"19750002800034";"IAE Paris - Sorbonne Business School";"Public";"etab.23"
"197534951";"19753495100037";"Conservatoire national supérieur de musique et de danse de Paris";"Public";"etab.23"
"197536675";"19753667500014";"Ecole Nationale Supérieure des Beaux-Arts de Paris";"Public";"etab.23"
"197537426";"19753742600011";"École des hautes études en sciences sociales";"Public";"etab.23"
"197546872";"19754687200015";"École du Louvre";"Public";"etab.23"
"200027084";"20002708400017";"École supérieure d'art et de design d'Amiens";"Public";"etab.23"
"200027373";"20002737300014";"École supérieure d'art et de design de Reims";"Public";"etab.23"
"200027647";"20002764700037";"École supérieure d'art et design Le Havre-Rouen";"Public";"etab.23"
"200028124";"20002812400028";"Haute école des arts du Rhin";"Public";"etab.23"
"200028843";"20002884300015";"Institut supérieur des arts de Toulouse";"Public";"etab.23"
"200039188";"20003918800012";"Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt";"Public";"etab.23"
"326930062";"32693006200145";"Institut catholique de Lyon";"Privé";"etab.23"
"341372522";"34137252200019";"Centre national des arts du cirque";"Privé";"etab.23"
"343592721";"34359272100025";"ISMANS";"Privé";"etab.23"
"379364094";"37936409400027";"École centrale d'électronique";"Privé";"etab.23"
"381395680";"38139568000105";"ICN Business School";"Privé";"etab.23"
"381522689";"38152268900011";"Institut régional du travail social de Champagne-Ardennes";"Privé";"etab.23"
"388591638";"38859163800035";"École de biologie industrielle";"Privé";"etab.23"
"391101581";"39110158100067";"EPF - École d'ingénieurs";"Privé";"etab.23"
"394331649";"39433164900027";"École supérieure d'ingénieurs des travaux de la construction de Paris";"Privé";"etab.23"
"397792656";"39779265600027";"Institut supérieur de l'électronique et du numérique de Brest";"Privé";"etab.23"
"421506445";"42150644500012";"École nationale supérieure des métiers de l'image et du son";"Public";"etab.23"
"439946427";"43994642700036";"Groupe Institut catholique d'arts et métiers";"Privé";"etab.23"
"479806630";"47980663000055";"École de management de Normandie";"Privé";"etab.23"
"512837303";"51283730300043";"École d'ingénieurs des sciences aérospatiales";"Privé";"etab.23"
"775722572";"77572257201109";"CESI";"Privé";"etab.23"
"783705841";"78370584100022";"Skema Business School";"Privé";"etab.23"
"783707060";"78370706000068";"Edhec Business School";"Privé";"etab.23"
"784617011";"78461701100076";"Centre des hautes études de la construction";"Privé";"etab.23"
"786116715";"78611671500065";"École supérieure d'électronique de l'Ouest";"Privé";"etab.23"
"792237463";"79223746300049";"Neoma Business School";"Privé";"etab.23"
"817517394";"81751739400018";"Toulouse Business School";"Privé";"etab.23"
"824457675";"82445767500059";"École supérieure des technologies industrielles avancées";"Privé";"etab.23"
"834748865";"83474886500013";"Audencia";"Privé";"etab.23"
"898056957";"89805695700019";"Institut Sup'Biotech de Paris";"Privé";"etab.23"
"898124904";"89812490400019";"Institut polytechnique des sciences avancées";"Privé";"etab.23"
