"Rentrée","Code.CNU","Section.CNU","Enseignants"
"2015",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",303
"2015",51,"Pathologie cardiorespiratoire et vasculaire",425
"2015",52,"Maladies des appareils digestif et urinaire",387
"2015",53,"Médecine interne, gériatrie et chirurgie générale",316
"2015",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",557
"2015",55,"Pathologie de la tête et du cou",201
"2015",56,"Développement, croissance et prévention",119
"2015",57,"Chirurgie orale - parondontologie - biologie orale",138
"2015",58,"Réhabilitation orale",243
"2015",60,"Mécanique, génie mécanique, génie civil",3832
"2015",61,"Génie informatique, automatique et traitement du signal",1769
"2015",62,"Energétique, génie des procédés",1135
"2015",63,"Génie électrique, électronique, photonique et systèmes",2168
"2015",64,"Biochimie et biologie moléculaire",1172
"2015",65,"Biologie cellulaire",1341
"2015",66,"Physiologie",753
"2015",67,"Biologie des populations et écologie",701
"2015",68,"Biologie des organismes",497
"2015",69,"Neurosciences",399
"2015",70,"Sciences de l'éducation et de la formation",743
"2015",71,"Sciences de l'information et de la communication",983
"2015",72,"Epistémologie, histoire des sciences et des techniques",83
"2015",73,"Cultures et langues régionales",74
"2015",74,"Sciences et techniques des activités physiques et sportives",2446
"2015",76,"Théologie catholique",30
"2015",77,"Théologie protestante",17
"2015",80,"Sciences physico-chimiques et ingénierie appliquée à la santé",46
"2015",81,"Sciences du médicament et des autres produits de santé",125
"2015",82,"Sciences biologiques, fondamentales et cliniques",158
"2015",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",455
"2015",86,"Sciences du médicament et des autres produits de santé",577
"2015",87,"Sciences biologiques, fondamentales et cliniques",404
"2016",0,"Sans discipline",1073
"2016",1,"Droit privé et sciences criminelles",1843
"2016",2,"Droit public",1318
"2016",3,"Histoire du droit et des institutions",264
"2016",4,"Science politique",387
"2016",5,"Sciences économiques",1788
"2016",6,"Sciences de gestion et du management",3835
"2016",7,"Sciences du langage",805
"2016",8,"Langues et littératures anciennes",310
"2016",9,"Langue et littérature française",2024
"2016",10,"Littératures comparées",215
"2016",11,"Etudes anglophones",4148
"2016",12,"Etudes germaniques et scandinaves",612
"2016",13,"Etudes slaves et baltes",148
"2016",14,"Etudes romanes",1430
"2016",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",447
"2016",16,"Psychologie et ergonomie",1374
"2016",17,"Philosophie",509
"2016",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",1100
"2016",19,"Sociologie, démographie",908
"2016",20,"Ethnologie, préhistoire, anthropologie biologique",207
"2016",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",760
"2016",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1484
"2016",23,"Géographie physique, humaine, économique et régionale",874
"2016",24,"Aménagement de l'espace, urbanisme",267
"2016",25,"Mathématiques",2406
"2016",26,"Mathématiques appliquées et applications des mathématiques",1833
"2016",27,"Informatique",3610
"2016",28,"Milieux denses et matériaux",1369
"2016",29,"Constituants élémentaires",1157
"2016",30,"Milieux dilués et optique",626
"2016",31,"Chimie théorique, physique, analytique",1015
"2016",32,"Chimie organique, minérale, industrielle",1275
"2016",33,"Chimie des matériaux",918
"2016",34,"Astronomie, astrophysique",189
"2016",35,"Structure et évolution de la terre et des autres planètes",527
"2016",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",393
"2016",37,"Météorologie, océanographie physique et physique de l'environnement",191
"2016",42,"Morphologie et morphogenèse",373
"2016",43,"Biophysique et imagerie Médecine",331
"2016",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",572
"2016",45,"Microbiologie, maladies transmissibles et hygiène",408
"2016",46,"Santé publique, environnement et société",298
"2016",47,"Cancérologie, génétique, hématologie, immunologie",601
"2016",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",480
"2016",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",404
"2016",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",307
"2016",51,"Pathologie cardiorespiratoire et vasculaire",423
"2016",52,"Maladies des appareils digestif et urinaire",396
"2016",53,"Médecine interne, gériatrie et chirurgie générale",340
"2016",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",569
"2016",55,"Pathologie de la tête et du cou",200
"2016",56,"Développement, croissance et prévention",120
"2016",57,"Chirurgie orale - parondontologie - biologie orale",138
"2016",58,"Réhabilitation orale",250
"2016",60,"Mécanique, génie mécanique, génie civil",3749
"2016",61,"Génie informatique, automatique et traitement du signal",1773
"2016",62,"Energétique, génie des procédés",1121
"2016",63,"Génie électrique, électronique, photonique et systèmes",2218
"2016",64,"Biochimie et biologie moléculaire",1171
"2016",65,"Biologie cellulaire",1343
"2016",66,"Physiologie",744
"2016",67,"Biologie des populations et écologie",710
