"link";"reference";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/UPR2940-ELOBER-034/Default.aspx";"UPR2940-ELOBER-034";"GRENOBLE";"mercredi 25 novembre 2020";"CDD Scientifique";"12";"Temps complet";"Entre 2648,79 € et 3054,06 € brut selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR6230-SEBGOU-001/Default.aspx";"UMR6230-SEBGOU-001";"NANTES";"mercredi 25 novembre 2020";"CDD Scientifique";"3";"Temps complet";"entre 2675 et 3084 euros bruts mensuels";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR8197-NATBOI-053/Default.aspx";"UMR8197-NATBOI-053";"PARIS 05";"mercredi 25 novembre 2020";"CDD Scientifique";"24";"Temps complet";"Entre 2800 € et 3800 € bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5138-CECBAT-008/Default.aspx";"UMR5138-CECBAT-008";"LYON 07";"mercredi 25 novembre 2020";"CDD Scientifique";"6";"Temps complet";"entre 2600 et 2700 euros bruts";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR6226-GABLOG-003/Default.aspx";"UMR6226-GABLOG-003";"RENNES";"mercredi 25 novembre 2020";"CDD Scientifique";"18";"Temps complet";"entre 2600 et 3730 € bruts mensuels";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/MOY1700-CATTAN-052/Default.aspx";"MOY1700-CATTAN-052";"RENNES";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"2 437€ à 2 979€ bruts mensuels, selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR9004-CORBEZ0-005/Default.aspx";"UMR9004-CORBEZ0-005";"MONTPELLIER";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"5";"Temps complet";"environ 1630 € bruts mensuels";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/MOY700-SANBUS-037/Default.aspx";"MOY700-SANBUS-037";"VILLEURBANNE";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"2000 € brut mensuel (grilles indiciaires fonction publique)";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UPR2940-ELOBER-035/Default.aspx";"UPR2940-ELOBER-035";"GRENOBLE";"mercredi 25 novembre 2020";"CDD Scientifique";"18";"Temps complet";"Entre 2648,79 € et 3054,06 € brut selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5220-SANVIG-005/Default.aspx";"UMR5220-SANVIG-005";"VILLEURBANNE";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"5";"Temps complet";"1573 E brut environ";"Bac / Bac pro";"Indifférent"
