"link";"reference";"title";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/UMR7198-MARTAI-032/Default.aspx";"UMR7198-MARTAI-032";"Spintronique picoseconde (H/F)";"NANCY";"jeudi 3 décembre 2020";"CDD Scientifique";24;"Temps complet";"2675,27";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5321-SEVBON-022/Default.aspx";"UMR5321-SEVBON-022";"Ingénieur-e en ingénierie logicielle (H/F)";"ST GIRONS";"vendredi 4 décembre 2020";"CDD Technique/Administratif";24;"Temps complet";"entre 2088.66 € et 2206.09 € brut mensuel selon expérience";"Bac+3";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/USR3683-QUEALA-005/Default.aspx";"USR3683-QUEALA-005";"Ingenieur de recherche « Territoires d interface et biodiversité urbaine sur le plateau de Saclay » H/F";"GIF SUR YVETTE";"vendredi 4 décembre 2020";"CDD Technique/Administratif";4;"Temps complet";"entre 2510,74 € et 3068,75€ bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5285-REGPHI-003/Default.aspx";"UMR5285-REGPHI-003";"CDD Ingénieur d études (H/F) sur la conversion catalytique d ozone et de COV";"VILLEURBANNE";"vendredi 4 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"entre 2000 et 2200 € bruts mensuels selon expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR9002-BENMEL-001/Default.aspx";"UMR9002-BENMEL-001";"H/F Technicien(ne) Logistique";"MONTPELLIER";"vendredi 4 décembre 2020";"CDD Technique/Administratif";6;"Temps complet";"Entre 1630 et 1730 € bruts mensuels (selon expérience)";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UPR288-BRILLO-018/Default.aspx";"UPR288-BRILLO-018";"Post-doctorant en caractérisation expérimentale ou numérique de la production de particules solides dans des flammes turbulentes (H/F)";"GIF SUR YVETTE";"vendredi 4 décembre 2020";"CDD Scientifique";12;"Temps complet";"Entre2 695,56 et 3 841,41 € bruts mensuels selon expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8506-STEDOU-005/Default.aspx";"UMR8506-STEDOU-005";"(H/F) Nouveau cadre de théorie de la communication au-delà de Shannon: principes fondamentaux et algorithmes (basés sur des modèles et basés sur les données)";"GIF SUR YVETTE";"vendredi 4 décembre 2020";"CDD Scientifique";12;"Temps complet";"entre 2728€ et 3880€ brut selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7252-DEBTHO-001/Default.aspx";"UMR7252-DEBTHO-001";"Chercheur Postdoctoral en Crytpographie basée sur les codes correcteurs (H/F)";"LIMOGES";"vendredi 4 décembre 2020";"CDD Scientifique";8;"Temps complet";"entre 2648,79€ à 4198,03€ brut mensuels (selon expérience)";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UPR2301-JEABET-002/Default.aspx";"UPR2301-JEABET-002";"Poste d Assistant Ingénieur (H/F) en synthèse organique.";"GIF SUR YVETTE";"vendredi 4 décembre 2020";"CDD Technique/Administratif";10;"Temps complet";"à partir de 1988€ brut mensuel selon expérience";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/USR3380-HELCOL-001/Default.aspx";"USR3380-HELCOL-001";"Assitant-e ingénieur-e en gestion administrative (H/F)";"VILLENEUVE D ASCQ";"vendredi 4 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"entre 1950 et 2386 € bruts mensuels selon expérience";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7330-ALELIC-001/Default.aspx";"UMR7330-ALELIC-001";"H/F CDD Chercheur junior en géochimie isotopique et paléoclimats";"AIX EN PROVENCE";"vendredi 4 décembre 2020";"CDD Scientifique";16;"Temps complet";"fourchette entre 2728,26 et 3881.29 € bruts mensuels";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5560-FABSOL-002/Default.aspx";"UMR5560-FABSOL-002";"CDD Chercheur Modélisation Chimie Atmosphérique / Climat (H/F)";"TOULOUSE";"vendredi 4 décembre 2020";"CDD Scientifique";12;"Temps complet";"2648-3768 bruts selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UPR3407-DOMVRE0-001/Default.aspx";"UPR3407-DOMVRE0-001";"Ingénieur d étude AFM/MEB (H/F)";"VILLETANEUSE";"vendredi 4 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"de 2151 € à 2272 € brut mensuel";"Bac+3";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5203-ANNCHA-019/Default.aspx";"UMR5203-ANNCHA-019";"H/F Technicien Biologiste";"MONTPELLIER";"vendredi 4 décembre 2020";"CDD Technique/Administratif";12;"Temps complet";"1630 €  à 1720 € brut mensuel en fonction de l expérience";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5800-MAGHIN-014/Default.aspx";"UMR5800-MAGHIN-014";"Post-doctorant (H/F) : Gestion intelligente des données imparfaites";"TALENCE";"vendredi 4 décembre 2020";"CDD Scientifique";24;"Temps complet";"entre 2648€ et 3054€ bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8630-FRAPER-002/Default.aspx";"UMR8630-FRAPER-002";"Postdoctorant H/F : Controle Quantique pour l Interférométrie Atomique";"PARIS 14";"vendredi 4 décembre 2020";"CDD Scientifique";18;"Temps complet";"entre 2728€ et 3145€ bruts mensuels selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR9012-SOPHEB-023/Default.aspx";"UMR9012-SOPHEB-023";"INGENIEUR RESPONSABLE D EXPLOITATION ET DEVELOPPEMENT (H/F)";"ORSAY";"vendredi 4 décembre 2020";"CDD Technique/Administratif";24;"Temps complet";"Entre 2151,32 et 2272,27 €";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5253-FREJAO-003/Default.aspx";"UMR5253-FREJAO-003";"H/F Ingénieur de recherche en pile à combustible";"MONTPELLIER";"vendredi 4 décembre 2020";"CDD Scientifique";12;"Temps complet";"entre 2461,99 et 2642,32 euros brut mensuel";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5607-MARCHA-001/Default.aspx";"UMR5607-MARCHA-001";"Post-Doc en papyrologie (H/F)";"PESSAC";"vendredi 4 décembre 2020";"CDD Scientifique";23;"Temps complet";"entre 2648€ et 3054€ selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5505-CHLBOU-033/Default.aspx";"UMR5505-CHLBOU-033";"CDD chercheur (H/F)  Chercheur en machine learning et traitement du signal";"TOULOUSE";"samedi 5 décembre 2020";"CDD Scientifique";12;"Temps complet";"Entre 2 648 et 3 729 bruts mensuels selon expérience";"Doctorat";"1 à 4 années"
